Cd,Family,Genus,Species
CHASLO,Rubiaceae,Chasalia,longifolia
GAR1LO,Rubiaceae,Gardeniopsis,longifolia
PLA1MA,Sapotaceae,Planchonella,maingayi
PSYDMA,Rubiaceae,Psydrax,maingayi
MIC3MI,Rutaceae,Micromelum,minutum
TURPOV,Staphyleaceae,Turpinia,ovalifolia
LINDOX,Lauraceae,Lindera,oxyphylla
CINNPO,Lauraceae,Cinnamomum,porrectum
KNEMPS,Myristicaceae,Knema,pseudo-laurina
BACCS1,Euphorbiaceae,Baccaurea,species 1
PLATS1,Icacinaceae,Platea,species 1
STERS1,Sterculiaceae,Sterculia ,species 1
MANGS2,Anacardiaceae,Mangifera,swintonioides
METATR,Rubiaceae,Metadina,trichotoma
DEPLBA,Bignoniaceae,Deplanchea,bancana
HEDYSP,Chloranthaceae,Chloranthus,erectus
LITSFI,Lauraceae,Litsea,firma
FICULA,Moraceae,Ficus,lamponga
JACKOR,Rubiaceae,Jackiopsis,ornata
MISCPE,Sapindaceae,Mischocarpus,pentapetalus
RADEPI,Bignoniaceae,Radermachera,pinnata
APH1PO,Meliaceae,Aphanamixis,polystachya
GARCPR,Clusiaceae,Garcinia,prainiana
GARCPY,Clusiaceae,Garcinia,pyrifera
IXONRE,Ixonanthaceae,Ixonanthes ,reticulata
GARCS5,Clusiaceae,Garcinia,species 5
MELISU,Opiliaceae,Melientha,suavis
STEMUM,Icacinaceae,Stemonurus,umbellatus
PEN1VE,Anacardiaceae,Pentaspadon,velutinus
